resume: 0 verified UNSAT leaves already on record; 0 earlier CAP rows honoured
instance k211k24_n26_lex.cnf: p cnf 115775 227150 | top cubes 402 | cap 120s | resplit depth 8 | par 16
=== LEVEL 0: 402 cubes, 402 to solve ===
{'id': '110', 'result': 'UNSAT', 'secs': 1.2, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2233012, 'vnote': 'check rc0'}
{'id': '56', 'result': 'UNSAT', 'secs': 5.9, 'nlits': 10, 'verified': True, 'vsecs': 0.5, 'raw_bytes': 23899737, 'vnote': 'check rc0'}
{'id': '115', 'result': 'UNSAT', 'secs': 0.7, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1890203, 'vnote': 'check rc0'}
{'id': '89', 'result': 'UNSAT', 'secs': 3.8, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 18205149, 'vnote': 'check rc0'}
{'id': '71', 'result': 'UNSAT', 'secs': 5.4, 'nlits': 10, 'verified': True, 'vsecs': 0.5, 'raw_bytes': 25164484, 'vnote': 'check rc0'}
{'id': '122', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 603852, 'vnote': 'check rc0'}
{'id': '123', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1482454, 'vnote': 'check rc0'}
{'id': '97', 'result': 'UNSAT', 'secs': 3.9, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 18637983, 'vnote': 'check rc0'}
{'id': '101', 'result': 'UNSAT', 'secs': 3.5, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 18007532, 'vnote': 'check rc0'}
{'id': '104', 'result': 'UNSAT', 'secs': 4.0, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 20368022, 'vnote': 'check rc0'}
{'id': '113', 'result': 'UNSAT', 'secs': 3.4, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 18616743, 'vnote': 'check rc0'}
{'id': '103', 'result': 'UNSAT', 'secs': 5.1, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 21823140, 'vnote': 'check rc0'}
{'id': '116', 'result': 'UNSAT', 'secs': 3.6, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 18639291, 'vnote': 'check rc0'}
{'id': '111', 'result': 'UNSAT', 'secs': 4.6, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 19654170, 'vnote': 'check rc0'}
{'id': '130', 'result': 'UNSAT', 'secs': 0.8, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 1800285, 'vnote': 'check rc0'}
{'id': '131', 'result': 'UNSAT', 'secs': 0.6, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1229102, 'vnote': 'check rc0'}
{'id': '132', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 518643, 'vnote': 'check rc0'}
{'id': '133', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1498548, 'vnote': 'check rc0'}
{'id': '117', 'result': 'UNSAT', 'secs': 5.6, 'nlits': 10, 'verified': True, 'vsecs': 0.5, 'raw_bytes': 23691185, 'vnote': 'check rc0'}
{'id': '118', 'result': 'UNSAT', 'secs': 5.8, 'nlits': 10, 'verified': True, 'vsecs': 0.5, 'raw_bytes': 22389167, 'vnote': 'check rc0'}
{'id': '124', 'result': 'UNSAT', 'secs': 5.8, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 21974258, 'vnote': 'check rc0'}
{'id': '138', 'result': 'UNSAT', 'secs': 1.0, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1090235, 'vnote': 'check rc0'}
{'id': '128', 'result': 'UNSAT', 'secs': 5.7, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 22276531, 'vnote': 'check rc0'}
{'id': '105', 'result': 'UNSAT', 'secs': 8.7, 'nlits': 10, 'verified': True, 'vsecs': 0.7, 'raw_bytes': 30712336, 'vnote': 'check rc0'}
{'id': '139', 'result': 'UNSAT', 'secs': 1.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1637005, 'vnote': 'check rc0'}
{'id': '136', 'result': 'UNSAT', 'secs': 3.6, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 16652972, 'vnote': 'check rc0'}
{'id': '119', 'result': 'UNSAT', 'secs': 7.3, 'nlits': 10, 'verified': True, 'vsecs': 0.6, 'raw_bytes': 27132379, 'vnote': 'check rc0'}
{'id': '135', 'result': 'UNSAT', 'secs': 3.9, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 19442453, 'vnote': 'check rc0'}
{'id': '142', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1999377, 'vnote': 'check rc0'}
{'id': '134', 'result': 'UNSAT', 'secs': 4.2, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 22158259, 'vnote': 'check rc0'}
{'id': '125', 'result': 'UNSAT', 'secs': 7.1, 'nlits': 10, 'verified': True, 'vsecs': 0.6, 'raw_bytes': 26021498, 'vnote': 'check rc0'}
{'id': '146', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2134726, 'vnote': 'check rc0'}
{'id': '137', 'result': 'UNSAT', 'secs': 3.8, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 19007131, 'vnote': 'check rc0'}
{'id': '143', 'result': 'UNSAT', 'secs': 1.1, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 2201241, 'vnote': 'check rc0'}
{'id': '147', 'result': 'UNSAT', 'secs': 0.6, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2087423, 'vnote': 'check rc0'}
{'id': '150', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 341940, 'vnote': 'check rc0'}
{'id': '148', 'result': 'UNSAT', 'secs': 0.7, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2091816, 'vnote': 'check rc0'}
{'id': '151', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2302141, 'vnote': 'check rc0'}
{'id': '127', 'result': 'UNSAT', 'secs': 7.6, 'nlits': 10, 'verified': True, 'vsecs': 0.6, 'raw_bytes': 28395161, 'vnote': 'check rc0'}
